"","Acestrorhyncus lacustris","Astyanax altiparanae","Auchenipterus nuchalis","Benthos","Brycon orbignyanus","Cyphocharax modestus","Hemisorubin platyrhynchos","Hoplias malabaricus","Hoplosternum littorale","Hypophthalmus edentatus","Hypostomus sp","Iheringichthys labrosus","Insects","Leporinus friderici","Leporinus obtusidens","Loricariichthys platymetopon","Other benthos feeders","Other detritus feeders","Other insectivores","Other omnivores","Other piscivores","Parauchenipterus galeatus","Pimelodus maculatus","Plagioscion squamosissimus","Prochilodus lineatus","Pseudoplatystoma corruscans","Pterodoras granulosus","Rhaphiodon vulpinus","Salminus brasiliensis","Schizodon altoparanae","Schizodon borellii","Serrasalmus marginatus","Serrasalmus spilopleura","Steindachnerina insculpta","Trachydoras paraguayensis","Zooplankton"
"Acestrorhyncus lacustris",0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Aquatic macrophytes",0,0.2,0,0,0.3,0,0,0,0.1,0,0,0,0.3,0.3,0.3,0,0.1,0,0.2,0.15,0,0.4,0.05,0,0,0,0.5,0,0,0.7,0.7,0,0,0,0,0
"Astyanax altiparanae",0.2,0,0,0,0.1,0,0.15,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0.2,0,0.1,0.15,0,0.2,0,0.2,0.1,0,0,0.1,0.1,0,0,0
"Auchenipterus nuchalis",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0
"Benthos",0,0,0,0,0,0.1,0,0,0.2,0,0,0.35,0,0.05,0.05,0.1,0.35,0.1,0,0.15,0,0,0.25,0,0.15,0,0.1,0,0,0,0,0,0,0.1,0,0
"Brycon orbignyanus",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Cyphocharax modestus",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Detritus",0,0.1,0,0.5,0,0.55,0,0,0.3,0,0.8,0.25,0.7,0.2,0.2,0.6,0.3,0.7,0,0.1,0,0,0.1,0,0.7,0,0.1,0,0,0,0,0,0,0.55,0.55,0.5
"Hemisorubin platyrhynchos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"Hoplias malabaricus",0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
"Hoplosternum littorale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
"Hypophthalmus edentatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0
"Hypostomus sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
"Iheringichthys labrosus",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Insects",0,0.3,0.7,0,0.55,0,0,0,0.2,0,0,0.2,0,0.2,0.2,0.2,0.1,0.1,0.6,0.3,0,0.6,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.15,0
"Leporinus friderici",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Leporinus obtusidens",0,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"Loricariichthys platymetopon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0
"Other benthos feeders",0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0
"Other detritus feeders",0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0
"Other insectivores",0.1,0,0,0,0.05,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0
"Other omnivores",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0.05,0.1,0,0,0
"Other piscivores",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"Parauchenipterus galeatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.2,0,0,0,0,0,0,0,0
"Periphyton",0,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phytoplankton",0,0.1,0,0,0,0.35,0,0,0,0.3,0.2,0,0,0.05,0.05,0.1,0.05,0.1,0,0.1,0,0,0.05,0,0.15,0,0.1,0,0,0.3,0.3,0,0,0.35,0,0.5
"Pimelodus maculatus",0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plagioscion squamosissimus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0
