"","Astyanax altiparanae","Astyanax fasciatus","Brycon nattereri","Hoplias malabaricus","Hypostomus strigaticeps","Leporinus friderici","Salminus hilarii","Terrestrial Invertebrates","Zooplankton"
"Astyanax altiparanae",0,0,0,0.5,0,0,0.74,0,0
"Astyanax fasciatus",0,0,0,0.1,0,0,0.06,0,0
"Brycon nattereri",0,0,0,0,0,0,0.115,0,0
"Detritus",0,0,0.003,0.001,1,0,0,0.3,0.6
"Detritus Animal",0.0006,0.307,0.001,0.001,0,0.01,0,0,0
"Hoplias malabaricus",0,0,0,0.03,0,0,0,0,0
"Hypostomus strigaticeps",0,0,0,0,0,0,0.01,0,0
"Import",0.029,0,0.219,0,0,0.252,0,0.5,0
"Leporinus friderici",0,0,0,0,0,0,0.05,0,0
"Macrophytes",0.1,0.5,0.036,0.007,0,0.1,0,0.2,0
"Phytoplankton",0.02,0.001,0,0,0,0.004,0,0,0.4
"Terrestrial Invertebrates",0.85,0.192,0.742,0.361,0,0.634,0.025,0,0
