"","Ariidae","Aristeu varidens","Cephalopodes","Condrichtis","Demersal fish","Dentex","Haemulidae","Large pelagics","Large Zoo","Macrobenthos","Marine birds","Marine mammals","Merluccius","Mesopelagics","Middlebenthos","Miscelaneous","Parapenaeus longirostris","Penaeus","Polynemidae","Pseudotolithus","Sardinella","Sciaenidae","Serranidae","Small pelagics","Small Zoo","Trachurus"
"Ariidae",0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aristeu varidens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
"Condrichtis",0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Demersal fish",0.05,0,0.05,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dentex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0
"Detritus",0,1,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0.85,0.3,1,1,0.05,0,0,0,0,0,0.3,0
"Haemulidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
"Large pelagics",0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Large Zoo",0,0,0.25,0,0.3,0.3,0,0.2,0,0,0.2,0,0.2,0.5,0,0.1,0,0,0,0,0.35,0.32,0,0.2,0,0.5
"Macrobenthos",0.1,0,0.25,0,0.3,0.2,0.25,0,0,0.05,0,0,0,0,0,0,0,0,0.25,0,0.05,0.23,0.2,0,0,0
"Merluccius",0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.04,0,0,0,0,0,0,0.2,0,0,0,0,0,0
"Mesopelagics",0.2,0,0,0.25,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middlebenthos",0.1,0,0.15,0,0,0.25,0.25,0,0,0.1,0,0,0.15,0,0,0.1,0,0,0.35,0,0.05,0.2,0.25,0,0,0.05
"Miscelaneous",0.15,0,0.1,0.2,0,0.05,0,0.1,0,0,0.2,0.26,0,0,0,0,0,0,0,0.1,0,0.15,0.1,0,0,0
"Parapenaeus longirostris",0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
"Penaeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0
"Phytoplankton",0,0,0,0,0,0,0,0,0.2,0.05,0,0,0,0,0.15,0.3,0,0,0,0,0.4,0,0,0.5,0.7,0.3
"Polynemidae",0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
"Pseudotolithus",0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sardinella",0.25,0,0.05,0,0,0,0.2,0.2,0,0,0.1,0.05,0.05,0,0,0,0,0,0,0.1,0,0,0.15,0.1,0,0
"Sciaenidae",0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Serranidae",0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.15,0,0,0,0,0,0
"Small pelagics",0.1,0,0.05,0,0,0.05,0.2,0.2,0,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Small Zoo",0,0,0.05,0,0.3,0.1,0,0.2,0.6,0,0.25,0,0.2,0.5,0,0.2,0,0,0,0,0.15,0.1,0,0.2,0,0.15
"Trachurus",0,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
