"","Acestrorhyncus lacustris","Astyanax altiparanae","Auchenipterus nuchalis","Benthos","Detritus","Group 1","Group 2","Hoplias malabaricus","Hypophthalmus edentatus","Hypostomus sp","Iheringichthys labrosus","Insects","Leporinus friderici","Leporinus obtusidens","Loricaria sp","Macrophytes","Megalancistrus parananus","Moenkhausia intermedia","other detritivores","Other insectivores","Other omnivores","Parauchenipterus galeatus","Periphyton","Phytoplankton","Pinirampus pirinampu","Prochilodus lineatus","Pterodoras granulosus","Rhaphiodon vulpinus","Rhinelepis aspera","Schizodon borellii","Trachydoras paraguayensis","Zooplankton"
"Acestrorhyncus lacustris",0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"Astyanax altiparanae",0.2,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0,0,0,0
"Auchenipterus nuchalis",0.1,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthos",0,0,0,0,0,0.05,0,0,0,0,0.35,0,0.05,0.05,0.1,0,0,0.1,0.1,0,0.15,0,0,0,0,0.15,0.1,0,0.1,0,0,0
"Detritus",0,0,0,0.5,0,0.15,0,0,0,0.8,0.25,0.8,0.2,0.2,0.6,0,0.9,0,0.7,0.1,0.1,0,0,0,0,0.7,0.1,0,0.8,0,0.55,0.5
"Group 1",0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Group 2",0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoplias malabaricus",0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypophthalmus edentatus",0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypostomus sp",0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"Iheringichthys labrosus",0.2,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Insects",0,0.3,0.7,0,0,0.02,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0.2,0.1,0.6,0.3,0.6,0,0,0,0,0.1,0,0,0,0.15,0
"Leporinus friderici",0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0
"Leporinus obtusidens",0,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loricaria sp",0.1,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"Macrophytes",0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.3,0.3,0,0,0,0,0,0.2,0.2,0.4,0,0,0,0,0.5,0,0,0.7,0,0
"Megalancistrus parananus",0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moenkhausia intermedia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other detritivores",0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"Other insectivores",0.1,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"Other omnivores",0.1,0.1,0,0,0,0.05,0.05,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parauchenipterus galeatus",0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.2,0,0,0,0
"Periphyton",0,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0,0.1,0,0,0
"Phytoplankton",0,0.1,0,0,0,0,0,0,0.3,0.2,0,0,0.05,0.05,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0.15,0.1,0,0,0.3,0,0.5
"Pinirampus pirinampu",0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prochilodus lineatus",0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
"Pterodoras granulosus",0,0,0,0,0,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"Rhaphiodon vulpinus",0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"Rhinelepis aspera",0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schizodon borellii",0.1,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"Trachydoras paraguayensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
"Zooplankton",0,0.1,0.2,0,0,0.03,0,0,0.7,0,0.1,0,0,0,0,0,0,0.7,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0.3,0
