"","Adult hake","Anchovy","Anglerfishes","Benthic cephalopods","Benthic invertebrates C","Benthic invertebrates FDS","Benthopelagic cephalopods","Bivalves","Blue whiting","Commercial sparids 1","Commercial sparids 2","Common octopus","Crabs","Deep-sea fishes","Demersal fishes","Demersal piscivores","Detritus","Discard","Dolphins","Flatfishes","Gelatinous zooplankton","Horse mackerels","Import","Juvenile hake","Killer whales","Large benthopelagic fishes","Loggerhead turtles","Mackerels","Macrozooplankton","Mantis shrimp","Meso and microzooplankton","Mullets","Norway lobster","Phytoplankton","Polychaetes","Rose shrimp","Sardine","Seabirds","Sharks","Shrimps","Skates","Small benthopelagic fishes","Small demersal fishes","Suprabenthos"
"Adult hake",0.009,0,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anchovy",0.298,0,0,0.059,0,0,0.3,0,0,0.007,0.066,0.185,0,0,0.01,0.066,0,0,0.076,0,0,0,0,0.193,0.026,0,0,0.078,0,0,0,0,0,0,0,0,0,0.089,0.047,0,0,0,0,0
"Anglerfishes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic cephalopods",0.018,0,0.088,0.011,0,0,0.024,0,0.014,0.023,0.071,0.14,0.001,0.0004,0.009,0.011,0,0,0.012,0.005,0,0,0,0.028,0,0.001,0.1,0.07,0,0,0,0,0.006,0,0,0.011,0,0.002,0.013,0.005,0.006,0.001,0,0
"Benthic invertebrates C",0,0,0,0.011,0.05,0,0,0,0,0.053,0.101,0.105,0.05,0.007,0.025,0,0,0,0,0.003,0,0,0,0,0,0,0.1,0,0,0.2,0,0.014,0.048,0,0,0.005,0,0,0.0001,0,0,0,0.025,0
"Benthic invertebrates FDS",0,0,0,0.0001,0.312,0,0,0,0,0.372,0.017,0,0.085,0.0003,0.264,0.005,0,0,0,0.014,0,0,0,0,0,0,0,0.021,0,0.2,0,0.003,0.076,0,0,0.11,0,0,0.002,0.002,0.011,0,0.001,0
"Benthopelagic cephalopods",0.006,0,0,0.128,0,0,0.007,0,0.006,0.015,0,0,0,0,0.013,0.013,0,0,0.048,0,0,0,0,0.007,0.389,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.078,0,0.01,0,0,0
"Bivalves",0,0,0,0.031,0.052,0,0,0,0,0.024,0.113,0.166,0.234,0.00003,0.0004,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0.053,0.037,0,0,0.069,0,0,0,0.084,0.215,0,0.033,0
"Blue whiting",0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.026,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
"Commercial sparids 1",0.008,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commercial sparids 2",0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Common octopus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.006,0,0,0,0,0
"Crabs",0.065,0,0,0.023,0,0,0.039,0,0.003,0.047,0.028,0.089,0.005,0.263,0.174,0.057,0,0,0,0.267,0,0.001,0,0.034,0,0.002,0.082,0,0,0.14,0,0.243,0.13,0,0,0.021,0,0,0.071,0,0.237,0,0.054,0
"Deep-sea fishes",0.002,0,0.026,0,0,0,0.003,0,0,0,0,0,0,0,0.005,0.028,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
"Demersal fishes",0.007,0,0.102,0,0,0,0.022,0,0,0,0,0,0,0,0,0.026,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.005,0,0.058,0,0,0
"Demersal piscivores",0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.005,0,0,0
"Detritus",0,0,0,0,0.28,1,0,0.5,0,0,0,0,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.16,0,0,0.111,0,0.9,0.125,0,0,0,0.19,0,0,0,0.85
"Discard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.281,0.004,0,0,0,0,0
"Dolphins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flatfishes",0.038,0,0.089,0,0,0,0.00003,0,0,0.002,0,0,0,0,0,0.022,0,0,0.009,0.004,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0.025,0,0,0
"Gelatinous zooplankton",0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0.007,0,0,0,0,0,0.05,0,0,0,0,0,0.02,0.008,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0
"Horse mackerels",0.022,0,0,0,0,0,0.003,0,0,0,0.006,0,0,0,0.0004,0.233,0,0,0.066,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.007,0,0,0,0,0
"Import",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448,0,0,0,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0
"Juvenile hake",0.024,0,0.233,0.0001,0,0,0.0002,0,0,0,0,0,0,0,0,0.051,0,0,0,0.000001,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
"Killer whales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Large benthopelagic fishes",0.018,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0
"Loggerhead turtles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mackerels",0.064,0,0,0,0,0,0,0,0,0,0.074,0,0,0,0,0.22,0,0,0.065,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.203,0,0,0,0,0
