"","Atlantic silverside and bay anchovies","Bacterioplankton","Benthic bacteria","Benthos-eating birds","Blue crabs","Brittle stars","Catfish and stingrays","Deposit-feeding gastropods","Deposit-feeding peracaridan crustaceans","Deposit-feeding polychaetes","Epiphyte-grazing amphipods","Epiphyte-grazing gastropods","Fish and crustacean-eating birds","Fish-eating birds","Gobies and blennies","Gulf flounder and needlefish","Gulls","Herbivorous ducks","Herbivorous shrimps","Hermit crabs","Isopods","Killifishes","Meiofauna","Microfauna","Microprotozoa","Omnivorous crabs","Other gastropods","Pinfish","Pipefish and seahorses","Predatory gastropods","Predatory polychaetes","Predatory shrimps","Raptors","Red drum","Sheepshead minnow","Southern hake and sea robins","Spider crabs","Spot","Suspension-feeding molluscs","Suspension-feeding polychaetes","Tonguefish","Zooplankton"
"Atlantic silverside and bay anchovies",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacterioplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,7
"Benthic algae",0,0,0,0,0,37.5,0,48,37.5,25,29,0,0,0,0,0,0,0,0,45,0,0,0,20,0,0,0,23,2,0,0,0,0,0,7,0,5,25,0,99,0,0
"Benthic bacteria",0,0,0,0,0,9.5,0,1,9.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,8,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Blue crabs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brittle stars",8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catfish and stingrays",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"Deposit-feeding gastropods",0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,4.5,0,0,0,30,38,18,0,0,0,0,0,0,0,0,0,0
"Deposit-feeding peracaridan crustaceans",13,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,1.5,0,3,12.5,0,0.5,6.6,0,7.5,1,1,0,1.5,0,0,34,0
"Deposit-feeding polychaetes",10,0,0,6.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,5.5,2.2,0,5.5,14.1,0,7,0,0,0,8,0,0,0,0
"Detritus",0,0,100,0,0,40,0,49,50,50,31,0,0,0,0,0,0,0,0,45,0,16,0,10,10,50,0,1,0,69.5,0,15,0,0,7,0,0,0,0,0,0,0
"Epiphyte-grazing amphipods",23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,4,0,0,0,3,0,6,27,0,1,8,0,7,2,0,0,2,0,0,66,0
"Epiphyte-grazing gastropods",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gobies and blennies",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gulf flounder and needlefish",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"Halodule",0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,62.5,50,0,50,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,90,0,0,0,0,0
"Herbivorous shrimps",2.5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2.5,0,0,0,10,0,0,0,0,0,0
"Hermit crabs",0,0,0,15,74,0,5,0,0,0,0,0,3.5,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Isopods",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,20,0,0,0,0,0,0
