"","Acestrorhynchus pantaneiro","Aquatic insects","Astyanax sp","Auchenipterus nuchalis","Birds","Caymans","Chaetobranchopsis australis","Curimatella dorsalis","Cynopotamus kincaidi","Gymnogeophagus balzanii","Hemiodus orthonops","Hemisorubim platyrhynchos","Hoplias malabaricus","Hypophthalmus edentatus","Hypostomus sp","Leporinus sp","Loricaria sp","Loricariichthys sp","Mammals","Moenkhausia sp","Pimelodella sp","Pimelodus sp","Plagioscion ternetzi","Potamorhina squamoralevis","Psectrogaster curviventris","Pseudoplatystoma corruscans","Pseudoplatystoma reticulatum","Roeboides sp","Schizodon borellii","Serrasalmus sp","Steindachnerina sp","Sturisoma robustum","Terrestrial insects","Tetragonopterus argenteus","Trachydoras paraguayensis","Triportheus sp","Zooplankton"
"Acestrorhynchus pantaneiro",0,0,0,0,0,0.03,0,0,0,0,0,0,0.001,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"Aquatic insects",0,0,0.32,0.932,0,0,0.02,0,0.22,0.012,0.01,0,0,0,0,0.035,0,0,0,0.026,0.6,0.119,0,0,0,0,0,0.3,0.1,0.013,0,0,0,0.795,0.049,0.009,0
"Astyanax sp",0.015,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auchenipterus nuchalis",0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
"Chaetobranchopsis australis",0.01,0,0,0,0.04,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
"Curimatella dorsalis",0.16,0,0,0,0,0.08,0,0,0.103,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0.1,0,0.104,0,0,0,0,0,0,0
"Cynopotamus kincaidi",0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Detritus",0,0.6,0.2,0.024,0.03,0,0.35,0.975,0.08,0.389,0.01,0,0,0.709,0.98,0.867,0.88,0.919,0,0.003,0.092,0.2,0,0.97,0.9,0.01,0.03,0.1,0,0,0.908,0.91,0.2,0.063,0.271,0.156,0.6
"Gymnogeophagus balzanii",0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemiodus orthonops",0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemisorubim platyrhynchos",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoplias malabaricus",0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0.12,0,0,0,0,0,0,0,0,0,0
"Hypophthalmus edentatus",0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.16,0,0,0,0.01,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0
"Hypostomus sp",0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"Import",0.216,0.4,0.273,0,0,0,0.08,0.025,0.13,0.085,0.7,0.03,0.18,0.05,0.02,0.096,0.12,0.081,0,0.24,0.072,0.227,0.113,0.03,0.1,0.19,0.08,0.15,0.9,0.255,0,0.09,0.8,0.03,0.029,0.297,0
"Leporinus sp",0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loricaria sp",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loricariichthys sp",0.08,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0,0,0.02,0,0,0,0,0,0,0
"Moenkhausia sp",0.2,0,0,0,0.2,0.08,0,0,0,0,0,0.2,0.128,0,0,0,0,0,0,0,0.03,0,0.2,0,0,0.1,0.05,0.27,0,0.104,0,0,0,0,0,0,0
"Phytoplankton",0,0,0.1,0,0,0,0.04,0,0,0.014,0.26,0,0,0,0,0.002,0,0,0,0.003,0.06,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0.065,0.039,0.4
"Pimelodella sp",0,0,0,0,0.07,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
"Pimelodus sp",0.04,0,0,0,0.1,0.04,0,0,0.13,0,0,0.15,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plagioscion ternetzi",0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0
"Potamorhina squamoralevis",0.07,0,0,0,0,0,0,0,0,0,0,0.06,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0.021,0,0,0,0,0,0,0
"Psectrogaster curviventris",0.124,0,0,0,0.05,0,0,0,0.14,0,0,0.19,0.113,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0.1,0.07,0,0,0.125,0,0,0,0,0,0,0
"Pseudoplatystoma corruscans",0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoplatystoma reticulatum",0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roeboides sp",0,0,0,0,0.1,0.05,0,0,0,0,0,0,0.101,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0
"Schizodon borellii",0.04,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.001,0,0,0,0,0,0,0.09,0.06,0,0,0,0,0,0,0,0,0,0
"Serrasalmus sp",0,0,0,0,0,0.04,0,0,0,0,0,0,0.048,0,0,0,0,0,0.06,0,0,0,0.047,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
"Steindachnerina sp",0,0,0,0,0.1,0,0,0,0.001,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.198,0,0,0,0,0,0,0
"Sturisoma robustum",0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
"Terrestrial insects",0.005,0,0.107,0.018,0,0,0,0,0.066,0.257,0.02,0,0.03,0,0,0,0,0,0,0.163,0.047,0.4,0,0,0,0,0,0,0,0.034,0,0,0,0.032,0.054,0.364,0
"Tetragonopterus argenteus",0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trachydoras paraguayensis",0,0,0,0,0.03,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Triportheus sp",0,0,0,0,0.03,0.01,0,0,0.04,0,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0
"Zooplankton",0,0,0,0.026,0,0,0.5,0,0,0.243,0,0,0,0.241,0,0,0,0,0,0.564,0.01,0.054,0,0,0,0,0,0.08,0,0,0,0,0,0.08,0.532,0.135,0
