"","Ameletopsis perscitus","Aoteapsyche raruraru","Aphrophila neozelandica","Apsectrotanypus sp1 FW_013_03","Austroperla cyrene","Austrosimulium australense","Chironomini sp1 FW_013_03","Costchorema xanthoptera","Cricotopus type II","Deleatidium sp1 FW_013_03","Eukiefidrella brundini","Hexatomini","Hudsonema amabilis","Hydora nitida","Hydrobiosella stenocerca","Hydrobiosis charadera","Hydrobiosis parumbripennis","Hydrochorema crassicaudatum","Lumbriculiid type I","Lumbriculiid type II","Lumbriculiid type III","Lumbriculiid type skinny","Lumbriculiid type smooth","Megaleptoperla grandis","Molophilus sp1 FW_013_03","Nannochorista philpotti","Naonella forsythii","Nothodixa campbelli","Nymphula nitens","Orchymontia sp1 FW_013_03","Paracalliope sp1 FW_013_03","Paralimnophila skuseii","Paranephrops zelandicus","Paucispinigera approximata","Philorheithrus agilis","Polypedilum type I","Polypedilum type II","Polyplectropus puerilis","Potamopyrgus antipodarum","Psilachorema bidens","Psychodidae","Pycnocentria evecta","Rhabdomastix sp1 FW_013_03","Salmo trutta","Scirtidae type broad","Scirtidae type skinny","Stenoperla prasinia","Stictocladius sp1 FW_013_03","Tanypodini sp1 FW_013_03","Tanytarsus sp1 FW_013_03","Tanytarsus verspertinus","Zelanoperla sp1 FW_013_03","Zelolessica cheira"
"Achnanthes lanceolata",0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1
"Achnanthes sp1 FW_013_03",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Aoteapsyche raruraru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Austroperla cyrene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Austrosimulium australense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Blue-green algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Closterium sp1 FW_013_03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Cocconeis placentula",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cosmarium sp1 FW_013_03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deleatidium sp1 FW_013_03",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"Diatoma heimale",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diploneis ovalis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Epithemia turgida",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gomphoneis herculeana var. robusta",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
