"","Amphipoda sp1 FW_014_02","Aphrophila noevaezelandiae","Archichauliodes diversus","Austroperla cyrene","Autrosimilium australense","Coloburiscus humeralis","Costachorema xanthoptera","Deleatidium sp1 FW_014_02","Eukiefiriella","Helicopsyche albescens","Hudsonema aliena","Hydora nitida adult","Hydora nitida larvae","Hydraena homalaena sp1 FW_014_02","Hydraena orchymontia","Hydrobiosid sp1 FW_014_02","Larsia II","Maoridiamesea","Nannochorista philpotti","Naonella","Oligochaeta type I","Oligochaeta type II","Oligochaeta type weak-long-short","Olinga feredayi","Orthoclad sp1 FW_014_02","Oxyethira albiceps","Philorheithrus agilis","Pirara","Podonomus","Polypedellum","Polyplectropus puerilis","Potamopyrgus antipodarum","Psilachorema bidens","Pycnocentria sp1 FW_014_02","Pycnocentrodes evecta","Salmo trutta","Scirtid type broad","Scirtid type skinny","Tanyderid sp1 FW_014_02","Tanytarsini","Zelandoperla sp1 FW_014_02"
"Achnanthes lanceoloata",1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0
"Achnanthes linearis",0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0
"Achnanthes saxonica",0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Amphipoda sp1 FW_014_02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Amphora sp1 FW_014_02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Aphrophila noevaezelandiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Archichauliodes diversus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Asterionella sp1 FW_014_02",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aulacoseira sp1 FW_014_02",1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
"Autrosimilium australense",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
