"","Acroperla sp1 FW_014_03","Amphipoda sp1 FW_014_03","Aoteaphsyche sp1 FW_014_03","Aphrophila noevaezelandiae","Austroclima jollyae","Austroperla cyrene","Austrosimulium australense","Ceratopogonid sp1 FW_014_03","Coloburiscus humeralis","Costachorema xanthoptera","Cricotopus I","Cricotopus II","Deleatidium sp1 FW_014_03","Eukiefiriella","Hexatomini sp1 FW_014_03","Hudsonema amabilis","Hydora nitida larvae","Hydrobiosella sp1 FW_014_03","Hydrobiosid sp1 FW_014_03","Hydrobiosis parumbripennis","Larsia I","Larsia II","Maoridiemesea","Megaleptoperla diminuta","Megaleptoperla grandis","Naonella","Nesameletus ornatus","Oeconesus sp1 FW_014_03","Oligochaeta type I","Oligochaeta type II","Oniscogaster sp1 FW_014_03","Orchymontia sp1 FW_014_03","Orthoclad sp1 FW_014_03","Oxyethira albiceps","Paralimnophora skusei","Paranephrops zealandicus","Pirara","Podaena sp1 FW_014_03","Polypedellum","Polyplectropus puerilis","Potamopurgus antipodarum","Psilachorema bidens","Pycnocentria sp1 FW_014_03","Salmo trutta","Scirtid skinny","Stenoperla prasinia","Stictocladius","Stratiomyiid sp1 FW_014_03","Tanyderid sp1 FW_014_03","Tanytarsini","Zealandobius confusus type","Zealolessica cheira"
"Achnanthes lanceoloata",1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
"Achnanthes linearis",0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
"Achnanthes minutissima",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Achnanthes saxonica",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Aphrophila noevaezelandiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Audouinella",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aulacoseira sp1 FW_014_03",1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
"Austrosimulium australense",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cf. Batrachospermum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Closterium sp1 FW_014_03",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
