"","Amphipoda sp1 FW_015_03","Aoteapsyche sp1 FW_015_03","Aphrophila sp1 FW_015_03","Archicauliodes diversus","Austroclima jollyae","Austrosimulium australense","Baraeoptera roria","Chironomid type Diamesid blond","Chironomid type Diamesid brown orange","Chironomid type Eukief Shiny Black","Chironomid type Large Tanytarsini","Chironomid type Orthoclad Blue Black","Chironomid type Orthoclad Blue Blond","Chironomid type Polyped","Chironomid type Slant-eye","Chironomid type Tanytarsini","Coloburiscus humeralis","Deleatidium sp1 FW_015_03","Eriopterini sp1 FW_015_03","Galaxias depressiceps","Gobiomorphus breviceps","Helicopsyche albescens","Hudsonema amabilis","Hydora nitida larva","Hydraena homolaena","Hydrobiosis parumbripennis","Neocurupira hudsonii","Nesameletus ornatus","Oligochaeta type I","Oligochaeta type II","Olinga feredayi","Oxytheira albiceps.","Parachironomous sp1 FW_015_03","Paranephrops zealandicus","Potamopyrgus antipodarum","Psilachorema bidens","Pycnocentria sp1 FW_015_03","Pycnocentrodes sp1 FW_015_03","Salmo trutta","Scirtid sp1 FW_015_03","Stenoperla cyrene","Tiphobiosis sp1 FW_015_03","Zelandoperla sp1 FW_015_03"
"Achnanthidium lanceoloata",0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"Achnanthidium linearis",0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0
"Achnanthidium minutissima",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achnanthidium saxonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aoteapsyche sp1 FW_015_03",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aphrophila sp1 FW_015_03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asterionella sp1 FW_015_03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Audouinella sp1 FW_015_03",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Austroclima jollyae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Austrosimulium australense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Blue-green algae sp1 FW_015_03",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Chironomid type Diamesid blond",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Chironomid type Diamesid brown orange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Chironomid type Eukief Shiny Black",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chironomid type Orthoclad Blue Black",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Chironomid type Orthoclad Blue Blond",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chironomid type Slant-eye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chironomid type Tanytarsini",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
