"","Alkmaria romijni","Ampithoe valida","Aonides oxycephala","Capitella capitata","Carcinus maenas","Cerastoderma edule","Chaetozone setosa","Crangon crangon","Cyathura carinata","Diopatra neapolitana","Eteone flava","Gibulla umbilicalis","Glycera tridactyla","Haminoea hydatis","Hediste diversicolor","Heteromastus filiformis","Hydrobia ulvae","Idotea chelipes","Lagis koreni","Lekanesphaera levii","Littorina littorea","Lumbrineris impatiens","Melita palmata","Mytilus sp1 FW_016_01","Nemertini","Nephthys sp1 FW_016_01","Oligochaeta","Pygospio elegans","Scrobicularia plana","Streblospio shrubsolii","Zooplankton"
"Alkmaria romijni",0,0,0,0,0,0,0,0.003,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
"Ampithoe valida",0,0,0,0,0.04,0,0,0.037,0.05,0.01,0,0,0.06,0,0.002,0,0,0,0,0,0,0.001,0,0,0.05,0.006,0,0,0,0,0
"Aonides oxycephala",0,0,0,0,0.001,0,0,0.001,0.001,0.01,0.2,0,0.01,0,0,0,0,0,0,0,0,0.001,0,0,0.005,0.001,0,0,0,0,0
"Capitella capitata",0,0,0,0,0,0,0,0,0.004,0,0,0,0.005,0,0.001,0,0,0,0,0,0,0.002,0,0,0,0.012,0,0,0,0,0
"Carcinus maenas",0,0,0,0,0.06,0,0,0.01,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastoderma edule",0,0,0,0,0.02,0,0,0.03,0,0.01,0,0,0.08,0,0.009,0,0,0,0,0,0,0.034,0,0,0.04,0.05,0,0,0,0,0
"Chaetozone setosa",0,0,0,0,0.018,0,0,0.013,0,0.04,0,0,0.06,0,0.04,0,0,0,0,0,0,0.001,0,0,0.03,0.01,0,0,0,0,0
"Crangon crangon",0,0,0,0,0.14,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyathura carinata",0,0,0,0,0.03,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.03,0,0,0,0,0,0
"Detritus",0.9,0.7,1,1,0.15,0.1,1,0.3,0.7,0.8,0.1,0.65,0.3,0.65,0.57,1,0.68,0.5,1,0.4,0.4,0.6,0.7,0.1,0.2,0.55,1,0.4,0.6,1,0
"Diopatra neapolitana",0,0,0,0,0.001,0,0,0.001,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.005,0.001,0,0,0,0,0
"Eteone flava",0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
"Gibulla umbilicalis",0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.005,0,0,0,0,0,0
"Glycera tridactyla",0,0,0,0,0.02,0,0,0.01,0.009,0,0.05,0,0.01,0,0.015,0,0,0,0,0,0,0.002,0,0,0.04,0.024,0,0,0,0,0
"Green macroalgae",0,0.2,0,0,0.04,0,0,0.05,0,0,0,0.05,0,0.05,0,0,0,0.1,0,0,0.35,0,0.2,0,0,0,0,0,0,0,0
"Haminoea hydatis",0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0.005,0,0,0,0,0,0
"Hediste diversicolor",0,0,0,0,0.08,0,0,0.09,0.05,0,0.15,0,0.13,0,0,0,0,0,0,0,0,0.004,0,0,0.23,0.08,0,0,0,0,0
"Heteromastus filiformis",0,0,0,0,0.005,0,0,0.04,0.03,0,0.2,0,0.09,0,0.065,0,0,0.1,0,0,0,0.005,0,0,0.077,0.1,0,0,0,0,0
